윈도우,변수,중요도,방향,부호
BT@2024-06,base_drift,0.038727403419190946,-0.0006500741846596312,↓(잔차 -)
BT@2024-06,h_step,0.009982867292137727,-5.366034787625313e-05,↓(잔차 -)
BT@2024-06,origin_last,0.00921558868394164,-0.0009830784667641996,↓(잔차 -)
BT@2024-06,depth1__ecos__m2_avg,0.007651881568084731,-0.001110226829541577,↓(잔차 -)
BT@2024-06,depth1__ecos__cd_91d_rate,0.0066994639076925185,-0.0012711063105526285,↓(잔차 -)
BT@2024-06,depth3__reb__apt_sale_index,0.005106680475547399,-0.00028028462836265114,↓(잔차 -)
BT@2024-06,origin_mom12,0.004930220617667367,0.0010083427849663569,↑(잔차 +)
BT@2024-06,depth1__ecos__cpi_housing,0.004734611273787446,-0.00043781580622996634,↓(잔차 -)
BT@2024-06,depth1__ecos__mortgage_rate_new,0.004346730425359921,-0.0010119958399326594,↓(잔차 -)
BT@2024-06,depth3__reb__apt_jeonse_index,0.0039792853591140345,-0.00016583823690323704,↓(잔차 -)
BT@2024-06,depth2__reb__apt_sale_supply_demand,0.003759055026926868,-0.0002753568927613713,↓(잔차 -)
BT@2024-06,depth3__policy__ltv_tightness,0.003078986330895413,-0.00021678821103812235,↓(잔차 -)
BT@2024-06,origin_mom6,0.002370935987010109,-0.0002582310276946636,↓(잔차 -)
BT@2024-06,depth1__ecos__base_rate,0.002280452696844694,-0.0006475514105938691,↓(잔차 -)
BT@2024-06,Static__평수구분,0.0022124154477106556,-5.325407788682441e-05,↓(잔차 -)
BT@2024-06,Static__세대수구분,0.002140146027905886,4.846156983856022e-05,↑(잔차 +)
BT@2024-06,origin_mom3,0.001969634432726229,-0.00020170440951354168,↓(잔차 -)
BT@2024-06,depth2__reb__apt_monthly_rent_supply_demand,0.0015036170817513404,-0.0006908437807979197,↓(잔차 -)
BT@2024-06,depth3__policy__is_speculative,0.0014969337705338314,2.6213734088910185e-05,↑(잔차 +)
BT@2024-06,Static__역세권수,0.001373690324481028,-4.6350068113809415e-05,↓(잔차 -)
BT@2024-06,depth2__reb__apt_jeonse_supply_demand,0.001049752617527183,-9.761183291109063e-05,↓(잔차 -)
BT@2024-06,Static__호재수,0.0009825517666874467,1.189013271829105e-05,↑(잔차 +)
BT@2024-06,depth1__ecos__unemployment_rate,0.0009265306965588336,0.0001141698991841974,↑(잔차 +)
BT@2024-06,Static__건설사등급,0.0006532664016746586,-4.52323213742095e-05,↓(잔차 -)
BT@2024-06,Static__초품아여부,0.00040020998926701293,4.3739300607528505e-06,↑(잔차 +)
BT@2024-06,depth3__policy__is_overheated,0.00039771396992064185,-7.448438305595978e-05,↓(잔차 -)
BT@2024-06,Static__준공구분,0.00026796736924975423,-1.9367367719360704e-05,↓(잔차 -)
BT@2024-06,depth3__policy__is_regulated,6.202367651131211e-05,-1.406756648044839e-05,↓(잔차 -)
BT@2024-06,depth3__policy__dsr_severity,4.509607751335404e-05,-2.3911199014370574e-05,↓(잔차 -)
