윈도우,변수,중요도,방향,부호
BT@2021-06,base_drift,0.010922355821363267,-0.001962877177148315,↓(잔차 -)
BT@2021-06,depth1__ecos__m2_avg,0.003811833716971336,-0.0002374335075059769,↓(잔차 -)
BT@2021-06,h_step,0.002918596489223403,-0.00011741728327534194,↓(잔차 -)
BT@2021-06,depth1__ecos__mortgage_rate_new,0.0017765271509712854,-0.0003729234913832303,↓(잔차 -)
BT@2021-06,origin_mom12,0.0017170307764668563,-0.00014013794070874653,↓(잔차 -)
BT@2021-06,depth1__ecos__cd_91d_rate,0.0016022008539208067,9.067187483943214e-05,↑(잔차 +)
BT@2021-06,depth1__ecos__base_rate,0.0011155162092737184,0.0001532619179547303,↑(잔차 +)
BT@2021-06,depth1__ecos__cpi_housing,0.0009868353418868601,-0.00014441912929848128,↓(잔차 -)
BT@2021-06,depth2__reb__apt_monthly_rent_supply_demand,0.0008966678638268618,0.00018135337571107015,↑(잔차 +)
BT@2021-06,depth3__policy__is_speculative,0.00023894904807823862,3.058015471256161e-05,↑(잔차 +)
BT@2021-06,depth3__policy__ltv_tightness,0.00020956003273953175,-4.655487379483115e-06,↓(잔차 -)
BT@2021-06,depth2__reb__apt_sale_supply_demand,0.0,0.0,↑(잔차 +)
BT@2021-06,depth1__ecos__unemployment_rate,0.0,0.0,↑(잔차 +)
BT@2021-06,depth3__policy__dsr_severity,0.0,0.0,↑(잔차 +)
BT@2021-06,depth3__reb__apt_jeonse_index,0.0,0.0,↑(잔차 +)
BT@2021-06,depth3__reb__apt_sale_index,0.0,0.0,↑(잔차 +)
BT@2021-06,depth2__reb__apt_jeonse_supply_demand,0.0,0.0,↑(잔차 +)
BT@2021-06,Static__역세권수,0.0,0.0,↑(잔차 +)
BT@2021-06,depth3__policy__is_regulated,0.0,0.0,↑(잔차 +)
BT@2021-06,Static__호재수,0.0,0.0,↑(잔차 +)
BT@2021-06,depth3__policy__is_overheated,0.0,0.0,↑(잔차 +)
BT@2021-06,origin_last,0.0,0.0,↑(잔차 +)
BT@2021-06,origin_mom3,0.0,0.0,↑(잔차 +)
BT@2021-06,origin_mom6,0.0,0.0,↑(잔차 +)
BT@2021-06,Static__준공구분,0.0,0.0,↑(잔차 +)
BT@2021-06,Static__세대수구분,0.0,0.0,↑(잔차 +)
BT@2021-06,Static__평수구분,0.0,0.0,↑(잔차 +)
BT@2021-06,Static__건설사등급,0.0,0.0,↑(잔차 +)
BT@2021-06,Static__초품아여부,0.0,0.0,↑(잔차 +)
