윈도우,변수,중요도,방향,부호
BT@2022-06,base_drift,0.032970852402331205,-0.006516070076946601,↓(잔차 -)
BT@2022-06,h_step,0.012148786055846806,-0.0004234025790800066,↓(잔차 -)
BT@2022-06,depth1__ecos__m2_avg,0.007816608642419263,0.001552972139649214,↑(잔차 +)
BT@2022-06,origin_last,0.006579913663967813,-0.000909755247532188,↓(잔차 -)
BT@2022-06,depth1__ecos__mortgage_rate_new,0.005981227354202695,0.0006012732403785873,↑(잔차 +)
BT@2022-06,origin_mom12,0.005189474421134103,-0.00014556780543326897,↓(잔차 -)
BT@2022-06,depth3__reb__apt_sale_index,0.005144365024898419,-0.0006757574429825992,↓(잔차 -)
BT@2022-06,depth3__reb__apt_jeonse_index,0.0041422962982860904,0.0010802090945880353,↑(잔차 +)
BT@2022-06,depth2__reb__apt_sale_supply_demand,0.003848291463536019,6.258398968741841e-05,↑(잔차 +)
BT@2022-06,depth1__ecos__cd_91d_rate,0.0033417275485469133,0.0001863448403185594,↑(잔차 +)
BT@2022-06,origin_mom6,0.0025771165325931492,-0.0002612686793703213,↓(잔차 -)
BT@2022-06,depth2__reb__apt_monthly_rent_supply_demand,0.002418256064096111,0.00020241390006598713,↑(잔차 +)
BT@2022-06,Static__세대수구분,0.0021238128627279937,-6.661659468950054e-05,↓(잔차 -)
BT@2022-06,depth1__ecos__cpi_housing,0.001902420295963788,9.428292813098594e-06,↑(잔차 +)
BT@2022-06,origin_mom3,0.0016166820993741777,-0.00026946623653404425,↓(잔차 -)
BT@2022-06,Static__평수구분,0.0015891973356509767,4.397741930121101e-05,↑(잔차 +)
BT@2022-06,depth3__policy__is_speculative,0.0015693314820141799,0.00023521344559725285,↑(잔차 +)
BT@2022-06,Static__역세권수,0.0013921714446326876,-4.557095979704406e-05,↓(잔차 -)
BT@2022-06,depth1__ecos__unemployment_rate,0.0013857765123510676,-0.0004287335321914382,↓(잔차 -)
BT@2022-06,Static__호재수,0.0011634399117688207,-3.9382086056104325e-06,↓(잔차 -)
BT@2022-06,depth2__reb__apt_jeonse_supply_demand,0.0009272211275424603,-5.5044333127961783e-05,↓(잔차 -)
BT@2022-06,depth3__policy__ltv_tightness,0.0008406177814725225,7.664381728001927e-05,↑(잔차 +)
BT@2022-06,Static__건설사등급,0.0006397159633083628,5.979997944286189e-06,↑(잔차 +)
BT@2022-06,depth1__ecos__base_rate,0.0006241012848768845,5.0410967966576784e-06,↑(잔차 +)
BT@2022-06,depth3__policy__is_overheated,0.0005487820411899118,-0.00012908619660506466,↓(잔차 -)
BT@2022-06,Static__초품아여부,0.000279207539867605,6.3584532536766564e-06,↑(잔차 +)
BT@2022-06,Static__준공구분,0.00020257275727632312,-2.598483600784245e-05,↓(잔차 -)
BT@2022-06,depth3__policy__dsr_severity,6.665620346810522e-05,3.4172674839081677e-06,↑(잔차 +)
BT@2022-06,depth3__policy__is_regulated,0.0,0.0,↑(잔차 +)
