윈도우,변수,중요도,방향,부호
BT@2025-06,base_drift,0.011531091008685511,-0.0004093359894150896,↓(잔차 -)
BT@2025-06,depth1__ecos__cd_91d_rate,0.004281277239484081,-0.0006764986351678561,↓(잔차 -)
BT@2025-06,depth1__ecos__cpi_housing,0.0032913510898652434,-0.0001027262572763418,↓(잔차 -)
BT@2025-06,depth1__ecos__m2_avg,0.003208882518943574,-0.000267939121707617,↓(잔차 -)
BT@2025-06,h_step,0.0030492436653323097,0.0002549173787773473,↑(잔차 +)
BT@2025-06,depth3__policy__ltv_tightness,0.000576188930567919,0.00014347940471616145,↑(잔차 +)
BT@2025-06,depth3__reb__apt_jeonse_index,0.00036492633093559654,-3.564831202497835e-05,↓(잔차 -)
BT@2025-06,depth2__reb__apt_monthly_rent_supply_demand,0.00030277309678734723,-0.00010641029416806007,↓(잔차 -)
BT@2025-06,origin_mom12,0.00020591571991572134,7.168569296369904e-05,↑(잔차 +)
BT@2025-06,depth3__policy__is_regulated,0.00013903952694442292,3.643468114414666e-05,↑(잔차 +)
BT@2025-06,depth1__ecos__base_rate,0.0,0.0,↑(잔차 +)
BT@2025-06,depth1__ecos__mortgage_rate_new,0.0,0.0,↑(잔차 +)
BT@2025-06,depth1__ecos__unemployment_rate,0.0,0.0,↑(잔차 +)
BT@2025-06,depth3__policy__dsr_severity,0.0,0.0,↑(잔차 +)
BT@2025-06,depth3__reb__apt_sale_index,0.0,0.0,↑(잔차 +)
BT@2025-06,depth2__reb__apt_sale_supply_demand,0.0,0.0,↑(잔차 +)
BT@2025-06,depth2__reb__apt_jeonse_supply_demand,0.0,0.0,↑(잔차 +)
BT@2025-06,Static__역세권수,0.0,0.0,↑(잔차 +)
BT@2025-06,depth3__policy__is_overheated,0.0,0.0,↑(잔차 +)
BT@2025-06,Static__호재수,0.0,0.0,↑(잔차 +)
BT@2025-06,depth3__policy__is_speculative,0.0,0.0,↑(잔차 +)
BT@2025-06,origin_last,0.0,0.0,↑(잔차 +)
BT@2025-06,origin_mom3,0.0,0.0,↑(잔차 +)
BT@2025-06,origin_mom6,0.0,0.0,↑(잔차 +)
BT@2025-06,Static__준공구분,0.0,0.0,↑(잔차 +)
BT@2025-06,Static__세대수구분,0.0,0.0,↑(잔차 +)
BT@2025-06,Static__평수구분,0.0,0.0,↑(잔차 +)
BT@2025-06,Static__건설사등급,0.0,0.0,↑(잔차 +)
BT@2025-06,Static__초품아여부,0.0,0.0,↑(잔차 +)
