윈도우,구분,변수,선택가중치
BT@2022-06,encoder_variables,pure_target,0.987177109973046
BT@2022-06,encoder_variables,depth2__reb__apt_sale_supply_demand,0.0007523027479397228
BT@2022-06,encoder_variables,origin_mom12,0.0007184487969683121
BT@2022-06,encoder_variables,h_step,0.0006888931995322016
BT@2022-06,encoder_variables,Static__호재수,0.0006527729082149916
BT@2022-06,encoder_variables,depth1__ecos__m2_avg,0.0006506149286811526
BT@2022-06,encoder_variables,depth3__policy__dsr_severity,0.0006479065902865677
BT@2022-06,encoder_variables,depth3__reb__apt_sale_index,0.0006379979610972511
BT@2022-06,encoder_variables,depth1__ecos__cpi_housing,0.0006258528093828177
BT@2022-06,encoder_variables,depth2__reb__apt_monthly_rent_supply_demand,0.0006123497999880759
BT@2022-06,encoder_variables,depth3__reb__apt_jeonse_index,0.0005972678099060107
BT@2022-06,encoder_variables,origin_last,0.0005734683536791471
BT@2022-06,encoder_variables,Static__역세권수,0.0005565905992945267
BT@2022-06,encoder_variables,depth2__reb__apt_jeonse_supply_demand,0.0005471050608040827
BT@2022-06,encoder_variables,origin_mom6,0.0005086410949803636
BT@2022-06,encoder_variables,depth1__ecos__cd_91d_rate,0.0005053287442451979
BT@2022-06,encoder_variables,depth3__policy__is_regulated,0.0005029300524500076
BT@2022-06,encoder_variables,depth1__ecos__unemployment_rate,0.0005010548772778179
BT@2022-06,encoder_variables,origin_mom3,0.0004936218711008785
BT@2022-06,encoder_variables,depth1__ecos__base_rate,0.00047819493036769595
BT@2022-06,encoder_variables,depth3__policy__is_overheated,0.00044915925405853693
BT@2022-06,encoder_variables,depth1__ecos__mortgage_rate_new,0.0004283378914169019
BT@2022-06,encoder_variables,relative_time_idx,0.000410948336767096
BT@2022-06,encoder_variables,depth3__policy__ltv_tightness,0.00022406836918805581
BT@2022-06,encoder_variables,depth3__policy__is_speculative,5.903303932663807e-05
