윈도우,구분,변수,선택가중치
BT@2020-06,decoder_variables,depth1__ecos__cd_91d_rate,0.28212258029082854
BT@2020-06,decoder_variables,h_step,0.1021918431209451
BT@2020-06,decoder_variables,Static__호재수,0.07232943813482635
BT@2020-06,decoder_variables,base_drift,0.06965845392292357
BT@2020-06,decoder_variables,depth1__ecos__m2_avg,0.04213024484095753
BT@2020-06,decoder_variables,depth3__reb__apt_sale_index,0.03482257128244327
BT@2020-06,decoder_variables,depth3__reb__apt_jeonse_index,0.03391739111491575
BT@2020-06,decoder_variables,depth3__policy__is_speculative,0.033460319592752925
BT@2020-06,decoder_variables,depth1__ecos__base_rate,0.03323645884005379
BT@2020-06,decoder_variables,origin_mom12,0.028835025456869973
BT@2020-06,decoder_variables,depth2__reb__apt_monthly_rent_supply_demand,0.02724146936876266
BT@2020-06,decoder_variables,origin_mom3,0.02500945690796677
BT@2020-06,decoder_variables,depth1__ecos__mortgage_rate_new,0.024593909080080148
BT@2020-06,decoder_variables,depth3__policy__is_regulated,0.023541083896675388
BT@2020-06,decoder_variables,relative_time_idx,0.023313269623713193
BT@2020-06,decoder_variables,origin_last,0.022053498575737726
BT@2020-06,decoder_variables,depth2__reb__apt_sale_supply_demand,0.02032302203092372
BT@2020-06,decoder_variables,Static__역세권수,0.02025826407290573
BT@2020-06,decoder_variables,depth3__policy__dsr_severity,0.020159195346551403
BT@2020-06,decoder_variables,depth1__ecos__cpi_housing,0.01612249864828883
BT@2020-06,decoder_variables,depth1__ecos__unemployment_rate,0.012704100648554616
BT@2020-06,decoder_variables,depth2__reb__apt_jeonse_supply_demand,0.010674073577103238
BT@2020-06,decoder_variables,origin_mom6,0.00969967258805604
BT@2020-06,decoder_variables,depth3__policy__ltv_tightness,0.0091210205415425
BT@2020-06,decoder_variables,depth3__policy__is_overheated,0.0024811384956212024
